the	art+m.یہ@art+f.یہ
sublime	a.عظیم الشان@a.بلند
palace	n+m.محل
acceptable	a.قابل قبول@a.مناسب
satisfied	a.مطمئن@v.مطمئن کیا
glad	a.خوش@a.مسرور
wins	n+f.جیت@v.جیتتا ہے
measurements	n+f.پیمائشیں@n+m.ناپ
verify	v.تصدیق کرنا@v.جانچنا
globe	n+m.کرہ ارض@n+m.گلوب
trusted	a.قابل اعتماد@v.بھروسہ کیا
copper	n+m.تانبا@a.تانبے کا
milwaukee	n+m.ملواکی
rack	n+m.ریک@n+f.شیلف
medication	n+f.دوائی@n+m.علاج
warehouse	n+m.گودام@n+f.ویئر ہاؤس
shareware	n+m.شیئر ویئر
rep	n+m.نمائندہ@n+f.ساکھ
kerry	n+m.کیری
receipt	n+f.رسید@n+m.وصول
supposed	a.فرضی@v.سمجھا جاتا ہے
ordinary	a.عام@a.معمولی
nobody	pron.کوئی نہیں@n+m.گمنام شخص
ghost	n+m.بھوت@n+f.روح
violation	n+f.خلاف ورزی@n+f.بے حرمتی
configure	v.ترتیب دینا@v.تشکیل دینا
stability	n+f.استحکام@n+f.پائیداری
applying	v.درخواست دینا@v.لگانا
southwest	n+m.جنوب مغرب@a.جنوب مغربی
boss	n+m.باس@n+m.مالک
pride	n+m.فخر@n+f.غرور
institutional	a.ادارہ جاتی@a.ادارتی
expectations	n+f.توقعات@n+f.امیدیں
independence	n+f.آزادی@n+m.استقلال
knowing	v.جاننا@a.باخبر
reporter	n+m.رپورٹر@n+m.نامہ نگار
metabolism	n+m.میٹابولزم@n+f.استحالہ
keith	n+m.کیتھ
champion	n+m.چیمپئن@n+m.فاتح
cloudy	a.ابر آلود@a.بادلوں والا
linda	n+f.لنڈا
ross	n+m.راس
personally	ad.ذاتی طور پر@ad.شخصی طور پر
chile	n+m.چلی
anna	n+f.انا
plenty	n+f.بہتات@ad.کافی
solo	a.تنہا@n+m.سولو@ad.اکیلے
sentence	n+f.سزا@n+m.جملہ
throat	n+m.گلا@n+f.حلق
ignore	v.نظر انداز کرنا@v.ان دیکھا کرنا
maria	n+f.ماریا
uniform	n+f.وردی@a.یکساں
excellence	n+f.فضیلت@n+f.عمدگی
wealth	n+f.دولت@n+m.مال
tall	a.لمبا@a.اونچا
somewhere	ad.کہیں@ad.کسی جگہ
vacuum	n+m.خلا@n+m.ویکیوم@v.صفائی کرنا
dancing	n+f.ناچ@n+m.رقص@v.ناچنا
attributes	n+f.صفات@v.منسوب کرتا ہے
recognize	v.پہچاننا@v.تسلیم کرنا
brass	n+m.پیتل@a.پیتل کا
writes	v.لکھتا ہے
plaza	n+m.چوک@n+f.پلازہ
outcomes	n+m.نتائج@n+f.ماحصل
survival	n+f.بقا@n+m.زندہ رہنا
quest	n+f.تلاش@n+m.جستجو
publish	v.شائع کرنا@v.چھاپنا
sri	n+m.سری
screening	n+f.اسکریننگ@n+f.جانچ
toe	n+f.انگلی پاؤں@n+m.پیر کی انگلی
thumbnail	n+m.چھوٹی تصویر@n+m.انگوٹھے کا ناخن
trans	a.ٹرانس@prep.پار
jonathan	n+m.جوناتھن
whenever	conj.جب بھی@ad.جب کبھی
nova	n+f.نووا@n+m.نیا ستارہ
lifetime	n+f.زندگی@n+m.عمر بھر
pioneer	n+m.علمبردار@n+m.پیش رو@v.راہ دکھانا
booty	n+f.لوٹ@n+m.مال غنیمت
forgotten	a.فراموش@v.بھول گیا
acrobat	n+m.نٹ@n+m.ایکروبیٹ
plates	n+f.پلیٹیں@n+f.تختیاں
acres	n+m.ایکڑ
venue	n+m.مقام@n+f.جگہ
athletic	a.کھیل کود کا@a.ایتھلیٹک
thermal	a.حرارتی@a.گرم
essays	n+m.مضامین
behaviour	n+m.برتاؤ@n+f.روش
vital	a.اہم@a.زندگی بخش
telling	a.اثر انگیز@v.بتانا
fairly	ad.کافی حد تک@ad.منصفانہ
coastal	a.ساحلی
charity	n+f.خیرات@n+f.صدقہ
intelligent	a.ذہین@a.سمجھدار
edinburgh	n+m.ایڈنبرا
excel	v.بہتر ہونا@n+m.ایکسل
modes	n+m.طریقے@n+f.حالتیں
obligation	n+f.ذمہ داری@n+m.فرض
campbell	n+m.کیمبل
wake	v.جاگنا@n+f.جاگ@n+m.کشتی کا پانی
stupid	a.بیوقوف@a.احمق
hungary	n+m.ہنگری
segment	n+m.حصہ@n+f.قطعہ
realize	v.سمجھنا@v.احساس کرنا
regardless	ad.قطع نظر@ad.بے پرواہ
enemy	n+m.دشمن
puzzle	n+f.پہیلی@v.حیران کرنا
rising	a.ابھرتا@n+m.طلوع@v.اٹھنا
wells	n+m.کنویں@n+m.ویلز
opens	v.کھولتا ہے@v.شروع ہوتا ہے
insight	n+f.بصیرت@n+f.سمجھ
shit	n+f.گند@int.افسوس@v.پاخانہ کرنا
restricted	a.محدود@a.ممنوعہ
republican	a.جمہوری@n+m.جمہوریہ پسند
secrets	n+m.راز@n+f.پوشیدہ باتیں
lucky	a.خوش قسمت@a.قسمت والا
latter	a.بعد والا@a.آخری
merchants	n+m.تاجر@n+m.سوداگر
thick	a.موٹا@a.گھنا
trailers	n+m.ٹریلر
repeat	v.دہرانا@n+f.دہرائی
syndrome	n+m.سنڈروم@n+f.علامات
philips	n+m.فلپس
attendance	n+f.حاضری@n+f.شرکت
penalty	n+f.سزا@n+m.جرمانہ
drum	n+m.ڈھول@n+m.ڈرم
glasses	n+m.عینک@n+m.گلاس
enables	v.قابل بناتا ہے@v.اجازت دیتا ہے
iraqi	a.عراقی@n+m.عراقی شخص
builder	n+m.بلڈر@n+m.تعمیر کار
vista	n+f.منظر@n+f.وسٹا
jessica	n+f.جیسیکا
chips	n+m.چپس@n+f.چھیلیاں
terry	n+m.ٹیری
flood	n+m.سیلاب@v.سیلاب آنا
ease	n+f.آسانی@v.آسان کرنا@n+m.آرام
arguments	n+f.دلیلیں@n+m.بحث
amsterdam	n+m.ایمسٹرڈیم
orgy	n+f.فحش پارٹی@n+f.بے راہ روی
arena	n+f.ایرینا@n+m.میدان
adventures	n+f.مہمیں@n+m.کارنامے
pupils	n+m.طالب علم@n+f.پتلیاں
stewart	n+m.سٹیورٹ
announcement	n+m.اعلان@n+f.اعلامیہ
tabs	n+m.ٹیب@n+f.پٹیاں
outcome	n+m.نتیجہ@n+f.انجام
appreciate	v.قدر کرنا@v.سراہنا
expanded	a.وسیع@v.پھیلایا
casual	a.غیر رسمی@a.عارضی
grown	v.بڑھا@a.پختہ
polish	v.چمکانا@n+f.پالش@a.پولش
lovely	a.پیارا@a.خوبصورت
extras	n+m.اضافی چیزیں@n+m.ایکسٹرا
centres	n+m.مراکز
jerry	n+m.جیری
clause	n+f.شق@n+m.جملہ
smile	n+f.مسکراہٹ@v.مسکرانا
lands	n+f.زمینیں@v.اترتا ہے
troops	n+f.فوجیں@n+m.دستے
indoor	a.اندرونی@a.گھر کے اندر
bulgaria	n+m.بلغاریہ
armed	a.مسلح@a.ہتھیار بند
broker	n+m.دلال@n+m.بروکر
charger	n+m.چارجر
regularly	ad.باقاعدگی سے@ad.مستقل
believed	v.یقین کیا@a.معتبر
pine	n+m.صنوبر@n+f.چیڑ@v.ترسنا
cooling	n+f.ٹھنڈک@a.ٹھنڈا کرنے والا
tend	v.دیکھ بھال کرنا@v.رجحان رکھنا
gulf	n+f.خلیج@n+m.خلا
rick	n+m.رک
trucks	n+m.ٹرک
mechanisms	n+m.طریقہ کار@n+f.آلات
divorce	n+m.طلاق@v.طلاق دینا
laura	n+f.لورا
shopper	n+m.خریدار
tokyo	n+m.ٹوکیو
partly	ad.جزوی طور پر@ad.کچھ حد تک
nikon	n+m.نیکون
customize	v.حسب ضرورت بنانا@v.مخصوص کرنا
tradition	n+f.روایت@n+m.رواج
candy	n+f.ٹافی@n+f.مٹھائی
pills	n+f.گولیاں
tiger	n+m.شیر@n+m.چیتا
donald	n+m.ڈونلڈ
folks	n+m.لوگ@n+m.گھر والے
sensor	n+m.سینسر@n+m.حساس آلہ
exposed	a.بے نقاب@v.ظاہر کیا
hunt	v.شکار کرنا@n+m.شکار
angels	n+m.فرشتے
deputy	n+m.نائب@a.نائب
indicators	n+m.اشارے@n+f.علامات
sealed	a.مہر بند@v.سیل کیا
thai	a.تھائی@n+m.تھائی لینڈ کا
emissions	n+f.اخراج@n+m.خارج ہونے والی چیزیں
physicians	n+m.معالج@n+m.ڈاکٹر
loaded	a.لدا ہوا@v.لادا@a.بھرا ہوا
fred	n+m.فریڈ
complaint	n+f.شکایت
scenes	n+m.مناظر@n+f.صحنے
experiments	n+m.تجربات
balls	n+f.گیندیں@n+m.گولے
afghanistan	n+m.افغانستان
boost	v.بڑھاوا دینا@n+m.فروغ
spanking	n+f.پٹائی@a.زبردست
scholarship	n+f.اسکالرشپ@n+m.علم
governance	n+f.گورننس@n+m.انتظام
mill	n+f.چکی@n+m.مل
founded	v.قائم کیا@a.بنیاد رکھی
supplements	n+m.سپلیمنٹس@n+f.اضافی چیزیں
chronic	a.دائمی@a.پرانا
icons	n+m.آئیکن@n+f.علامات
moral	a.اخلاقی@n+m.سبق
den	n+m.کھوہ@n+f.ماند
catering	n+f.کیٹرنگ@n+m.کھانے کا انتظام
aud	n+m.آڈ
finger	n+f.انگلی@v.چھونا
keeps	v.رکھتا ہے@v.برقرار رکھتا ہے
pound	n+m.پاؤنڈ@v.کوٹنا
locate	v.تلاش کرنا@v.مقام معلوم کرنا
camcorder	n+m.کیم کارڈر@n+m.ویڈیو کیمرا
trained	a.تربیت یافتہ@v.تربیت دی
burn	v.جلانا@v.جلنا@n+f.جلن
implementing	v.نافذ کرنا@v.عملدرآمد کرنا
roses	n+f.گلاب@n+m.پھول
labs	n+f.لیبارٹریز@n+m.تجربہ گاہیں
ourselves	pron.ہم خود@pron.اپنے آپ کو
bread	n+f.روٹی@n+m.ڈبل روٹی
tobacco	n+m.تمباکو
wooden	a.لکڑی کا@a.لکڑی
motors	n+m.موٹر@n+f.گاڑیاں
tough	a.مشکل@a.سخت@a.مضبوط
roberts	n+m.رابرٹس
incident	n+m.واقعہ@n+f.حادثہ
gonna	v.جا رہا ہے@v.کرنے والا ہے
dynamics	n+f.حرکیات@n+m.ڈائنامکس
lie	v.جھوٹ بولنا@n+m.جھوٹ@v.لیٹنا
conversation	n+f.گفتگو@n+f.بات چیت
decrease	v.کم کرنا@n+f.کمی
chest	n+f.چھاتی@n+m.صندوق
pension	n+f.پنشن
billy	n+m.بلی
revenues	n+f.آمدنی@n+m.محصولات
emerging	a.ابھرتا ہوا@v.ابھرنا
worship	n+f.عبادت@v.عبادت کرنا
capability	n+f.صلاحیت@n+f.قابلیت
craig	n+m.کریگ
herself	pron+f.خود@pron+f.اپنے آپ
producing	v.پیدا کرنا@v.بنانا
churches	n+f.گرجا گھر
precision	n+f.درستگی@n+f.صحت
damages	n+m.نقصانات@v.نقصان پہنچاتا ہے
reserves	n+m.ذخائر@v.محفوظ رکھتا ہے
contributed	v.حصہ ڈالا@v.تعاون کیا
solve	v.حل کرنا
shorts	n+f.نکر@n+m.شارٹس
reproduction	n+f.تولید@n+m.نقل
minority	n+f.اقلیت
diverse	a.متنوع@a.مختلف
amp	n+m.ایمپ@n+m.ایمپلیفائر
ingredients	n+m.اجزاء
johnny	n+m.جانی
sole	a.واحد@n+m.تلوا@n+f.سول مچھلی
franchise	n+f.فرنچائز@n+m.حق رائے دہی
recorder	n+m.ریکارڈر@n+m.ٹیپ
complaints	n+f.شکایات
facing	v.سامنا کرتے ہوئے@prep.کے سامنے
nancy	n+f.نینسی
promotions	n+f.ترقیاں@n+m.فروغ
tones	n+m.لہجے@n+f.آوازیں
passion	n+m.جذبہ@n+f.شوق
rehabilitation	n+f.بحالی@n+m.تعمیر نو
maintaining	v.برقرار رکھنا@v.دیکھ بھال کرنا
sight	n+f.نظر@n+m.منظر
laid	v.رکھا@v.بچھایا
clay	n+f.مٹی@n+m.گارا
defence	n+f.دفاع@n+f.حفاظت
patches	n+m.ٹکڑے@n+f.پیوند
weak	a.کمزور@a.ضعیف
refund	n+m.واپسی@v.رقم واپس کرنا
towns	n+m.قصبے@n+f.بستیاں
environments	n+m.ماحول
divided	a.تقسیم شدہ@v.تقسیم کیا
blvd	n+m.بلیوارڈ
reception	n+f.استقبالیہ@n+m.استقبال
wise	a.دانا@a.عقلمند
emails	n+f.ای میلز@n+m.برقی خطوط
cyprus	n+m.قبرص
odds	n+m.امکانات@n+f.مشکلات
correctly	ad.صحیح طور پر@ad.درست طریقے سے
insider	n+m.اندرونی شخص@a.اندرونی
seminars	n+m.سیمینار
consequences	n+m.نتائج@n+f.عواقب
makers	n+m.بنانے والے@n+m.ساز
hearts	n+m.دل
geography	n+f.جغرافیہ
appearing	v.ظاہر ہونا@v.نظر آنا
integrity	n+f.دیانت@n+m.استحکام
worry	v.فکر کرنا@n+f.فکر@n+f.پریشانی
discrimination	n+f.امتیاز@n+m.تفریق
eve	n+f.شام@n+f.حوا
carter	n+m.کارٹر
legacy	n+f.وراثت@n+m.میراث
marc	n+m.مارک
pleased	a.خوش@v.خوش کیا
danger	n+m.خطرہ
vitamin	n+m.وٹامن
widely	ad.وسیع پیمانے پر@ad.بڑے پیمانے پر
processed	a.پروسیسڈ@v.کارروائی کی
phrase	n+m.فقرہ@n+f.عبارت
genuine	a.اصلی@a.حقیقی
raising	v.اٹھانا@n+f.پرورش@v.بڑھانا
implications	n+m.مضمرات@n+f.اثرات
functionality	n+f.فعالیت@n+m.کام
paradise	n+f.جنت@n+m.فردوس
hybrid	n+m.ہائبرڈ@a.مخلوط
reads	v.پڑھتا ہے
roles	n+m.کردار@n+f.ذمہ داریاں
intermediate	a.درمیانی@n+m.بیچ کا
emotional	a.جذباتی@a.احساساتی
sons	n+m.بیٹے
leaf	n+m.پتا@n+f.ورق
pad	n+m.گدی@n+m.پیڈ@v.بھرنا
glory	n+f.شان@n+m.جلال
platforms	n+m.پلیٹ فارم
bigger	a.بڑا@a.زیادہ بڑا
billing	n+f.بلنگ@n+m.بل بنانا
diesel	n+m.ڈیزل
versus	prep.بمقابلہ@prep.کے خلاف
combine	v.ملانا@n+m.کمبائن
overnight	ad.راتوں رات@a.رات بھر کا
geographic	a.جغرافیائی
exceed	v.بڑھ جانا@v.تجاوز کرنا
rod	n+f.چھڑی@n+m.راڈ
saudi	a.سعودی@n+m.سعودی شخص
fault	n+f.غلطی@n+m.نقص@n+f.خرابی
cuba	n+m.کیوبا
hrs	n+m.گھنٹے
preliminary	a.ابتدائی@a.پہلے سے
districts	n+m.اضلاع@n+f.ضلعے
introduce	v.متعارف کرانا@v.پیش کرنا
silk	n+m.ریشم@a.ریشمی
promotional	a.تشہیری@a.فروغی
kate	n+f.کیٹ
chevrolet	n+f.شیورلے
babies	n+m.بچے@n+f.نومولود
karen	n+f.کیرن
compiled	v.مرتب کیا@a.مرتب شدہ
romantic	a.رومانوی@a.عاشقانہ
revealed	v.ظاہر کیا@v.انکشاف کیا
specialists	n+m.ماہرین
generator	n+m.جنریٹر@n+m.پیدا کرنے والا
albert	n+m.البرٹ
examine	v.جانچنا@v.معائنہ کرنا
jimmy	n+m.جمی
graham	n+m.گراہم
suspension	n+f.معطلی@n+m.لٹکاؤ
bristol	n+m.برسٹل
margaret	n+f.مارگریٹ
compaq	n+m.کومپیک
sad	a.اداس@a.غمگین
correction	n+f.تصحیح@n+f.اصلاح
wolf	n+m.بھیڑیا
slowly	ad.آہستہ آہستہ@ad.دھیرے دھیرے
authentication	n+f.تصدیق@n+m.توثیق
communicate	v.بات چیت کرنا@v.رابطہ کرنا
rugby	n+m.رگبی
supplement	n+m.اضافہ@v.اضافہ کرنا@n+f.ضمیمہ
cal	n+f.کیلوری
portions	n+m.حصے@n+f.مقداریں
infant	n+m.شیر خوار@n+m.بچہ
promoting	v.فروغ دینا@v.ترقی دینا
sectors	n+m.شعبے
samuel	n+m.سموئیل
fluid	n+m.سیال@a.روانی
grounds	n+f.بنیادیں@n+m.میدان
fits	v.فٹ ہوتا ہے@n+m.دورے
kick	v.لات مارنا@n+f.لات
regards	n+m.سلام@prep.کے بارے میں
meal	n+m.کھانا@n+f.غذا
hurt	v.تکلیف دینا@a.زخمی@n+f.چوٹ
machinery	n+f.مشینری@n+m.آلات
bandwidth	n+f.بینڈوڈتھ
unlike	prep.برعکس@a.مختلف
equation	n+f.مساوات
baskets	n+f.ٹوکریاں
probability	n+f.امکان@n+m.احتمال
pot	n+m.برتن@n+f.ہنڈیا
dimension	n+m.جہت@n+f.پیمائش
wright	n+m.رائٹ
barry	n+m.بیری
proven	a.ثابت شدہ@v.ثابت کیا
schedules	n+m.شیڈول@n+f.فہرستیں
admissions	n+f.داخلے@n+f.اعترافات
cached	a.محفوظ شدہ@v.کیش کیا
warren	n+m.وارن
slip	v.پھسلنا@n+f.پرچی@n+m.لغزش
studied	v.پڑھا@a.مطالعہ شدہ
reviewer	n+m.جائزہ لینے والا@n+m.نقاد
involves	v.شامل کرتا ہے@v.ملوث کرتا ہے
quarterly	a.سہ ماہی@ad.ہر تین ماہ
rpm	n+m.آر پی ایم
profits	n+m.منافع@n+f.آمدنی
devil	n+m.شیطان@n+m.ابلیس
grass	n+f.گھاس
comply	v.تعمیل کرنا@v.ماننا
marie	n+f.میری
florist	n+m.پھول فروش
illustrated	a.مصور@v.وضاحت کی
cherry	n+f.چیری@n+m.آلوچہ
continental	a.براعظمی@a.یورپی
alternate	a.متبادل@v.باری باری بدلنا
achievement	n+f.کامیابی@n+m.حصول
limitations	n+f.حدود@n+f.پابندیاں
kenya	n+m.کینیا
webcam	n+m.ویب کیم
cuts	n+f.کٹوتیاں@v.کاٹتا ہے
funeral	n+m.جنازہ@n+f.تدفین
earrings	n+f.بالیاں@n+m.کان کی بالیاں
enjoyed	v.مزہ لیا@v.لطف اندوز ہوا
automated	a.خودکار@v.خودکار بنایا
chapters	n+m.ابواب@n+f.فصلیں
pee	v.پیشاب کرنا@n+m.پیشاب
charlie	n+m.چارلی
quebec	n+m.کیوبیک
nipples	n+f.نپلیں@n+m.چھاتی کے سرے
passenger	n+m.مسافر
convenient	a.آسان@a.سہولت بخش
dennis	n+m.ڈینس
mars	n+m.مریخ
francis	n+m.فرانسس
tvs	n+m.ٹی وی
sized	a.سائز کا@v.سائز لگایا
manga	n+m.مانگا@n+f.جاپانی کامکس
noticed	v.محسوس کیا@v.دیکھا
socket	n+m.ساکٹ@n+f.چابی
silent	a.خاموش@a.چپ
literary	a.ادبی@a.علمی
egg	n+m.انڈا
mhz	n+m.میگا ہرٹز
signals	n+m.اشارے@n+f.علامات
caps	n+f.ٹوپیاں@n+m.ڈھکن
orientation	n+f.رہنمائی@n+m.رجحان
pill	n+f.گولی
theft	n+f.چوری
childhood	n+m.بچپن@n+f.طفولیت
swing	v.جھولنا@n+m.جھولا
symbols	n+f.علامات@n+m.نشانات
lat	n+m.عرض بلد
meta	a.میٹا@n+m.میٹا
humans	n+m.انسان
analog	a.تمثیلی@n+m.اینالاگ
facial	a.چہرے کا@n+m.چہرے کا علاج
choosing	v.چننا@v.انتخاب کرنا
talent	n+m.ہنر@n+f.صلاحیت
dated	a.تاریخ لگی@v.تاریخ ڈالی
flexibility	n+f.لچک@n+f.نرمی
seeker	n+m.متلاشی@n+m.طالب
wisdom	n+f.حکمت@n+f.دانائی
shoot	v.گولی چلانا@n+m.کونپل@v.فائرنگ کرنا
boundary	n+f.حد@n+f.سرحد
mint	n+f.پودینہ@n+m.ٹکسال@a.نیا
packard	n+m.پیکارڈ
offset	n+m.آفسیٹ@v.متوازن کرنا
payday	n+m.تنخواہ کا دن
philip	n+m.فلپ
elite	n+f.اشرافیہ@a.اعلیٰ
spin	v.گھومنا@n+m.گھماؤ
holders	n+m.رکھنے والے@n+m.حاملین
believes	v.یقین رکھتا ہے@v.مانتا ہے
swedish	a.سویڈش@n+m.سویڈن کا
poems	n+f.نظمیں@n+m.اشعار
deadline	n+f.آخری تاریخ@n+f.حد مقررہ
jurisdiction	n+m.دائرہ اختیار@n+f.عملداری
robot	n+m.روبوٹ
displaying	v.دکھانا@v.ظاہر کرنا
witness	n+m.گواہ@v.گواہی دینا
collins	n+m.کولنز
equipped	a.لیس@v.لیس کیا
stages	n+m.مراحل@n+f.منزلیں
encouraged	v.حوصلہ افزائی کی@a.حوصلہ مند
sur	prep.پر@n+m.جنوب
winds	n+f.ہوائیں@v.لپیٹتا ہے
powder	n+m.پاؤڈر@n+f.سفوف
broadway	n+m.براڈوے
acquired	v.حاصل کیا@a.حاصل شدہ
assess	v.جانچنا@v.تخمینہ لگانا
wash	v.دھونا@n+m.دھلائی
cartridges	n+f.کارتوسیں@n+m.کارٹریج
stones	n+m.پتھر@n+f.کنکریاں
entrance	n+m.داخلہ@n+f.دروازہ
gnome	n+m.بونا@n+m.گنوم
roots	n+f.جڑیں
declaration	n+f.اعلامیہ@n+m.اعلان
losing	v.ہارنا@v.کھونا
attempts	n+f.کوششیں@v.کوشش کرتا ہے
gadgets	n+m.آلات@n+f.چیزیں
noble	a.عظیم@a.شریف@n+m.امیر زادہ
glasgow	n+m.گلاسگو
automation	n+f.آٹومیشن@n+m.خودکاری
impacts	n+m.اثرات@v.اثر ڈالتا ہے
rev	n+m.ریو@n+m.پادری
gospel	n+f.انجیل@n+m.خوشخبری
advantages	n+m.فوائد@n+f.فائدے
shore	n+m.ساحل@n+f.کنارہ
loves	v.پیار کرتا ہے@n+m.محبتیں
induced	v.راغب کیا@a.پیدا شدہ
knight	n+m.شہ سوار@n+m.نائٹ
preparing	v.تیاری کرنا@v.تیار کرنا
loose	a.ڈھیلا@a.کھلا
aims	n+m.مقاصد@v.نشانہ لگاتا ہے
recipient	n+m.وصول کنندہ@n+m.حاصل کرنے والا
linking	v.جوڑنا@n+m.لنک کرنا
extensions	n+f.توسیعات@n+m.ایکسٹینشن
appeals	n+f.اپیلیں@v.اپیل کرتا ہے
earned	v.کمایا@a.کمائی گئی
illness	n+f.بیماری@n+m.مرض
islamic	a.اسلامی
athletics	n+f.ایتھلیٹکس@n+m.کھیل
southeast	n+m.جنوب مشرق@a.جنوب مشرقی
alternatives	n+m.متبادل@n+f.راہیں
pending	a.زیر التوا@prep.تک
parker	n+m.پارکر
determining	v.تعین کرنا@v.فیصلہ کرنا
lebanon	n+m.لبنان
corp	n+f.کارپوریشن
personalized	a.ذاتی@a.مخصوص شدہ
kennedy	n+m.کینیڈی
conditioning	n+f.تکییف@n+m.ایئر کنڈیشننگ
teenage	a.نوعمر@a.نوجوان
soap	n+m.صابن
triple	a.تین گنا@v.تین گنا کرنا
cooper	n+m.کوپر
vincent	n+m.ونسنٹ
jam	n+m.جام@n+m.مربہ@v.پھنسنا
secured	a.محفوظ@v.محفوظ کیا
